file,subset,seed,load_f1,real_f1,tn,tp,fn,fp,fnr,rec,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_5391_imputed.txt,0.1,5391,0.884615384615385,0.884615384615385,80,23,4,2,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_5742_imputed.txt,0.1,5742,0.909090909090909,0.909090909090909,79,25,2,3,0.0740740740740741,0.925925925925926,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_5795_imputed.txt,0.1,5795,0.857142857142857,0.857142857142857,81,21,6,1,0.222222222222222,0.777777777777778,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_5801_imputed.txt,0.1,5801,0.901960784313726,0.901960784313726,81,23,4,1,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_6540_imputed.txt,0.1,6540,0.92,0.92,82,23,4,0,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_6832_imputed.txt,0.1,6832,0.905660377358491,0.905660377358491,80,24,3,2,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_6955_imputed.txt,0.1,6955,0.851851851851852,0.851851851851852,78,23,4,4,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_7598_imputed.txt,0.1,7598,0.867924528301887,0.867924528301887,79,23,4,3,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_7748_imputed.txt,0.1,7748,0.901960784313726,0.901960784313726,81,23,4,1,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/imputed_iTuneAmazon_without_thr/testing_file_0.1_8006_imputed.txt,0.1,8006,0.846153846153846,0.846153846153846,79,22,5,3,0.185185185185185,0.814814814814815,,
